Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_40051,21198307,SA_BST_A_TF_40051_Bt Timah Rd_Balmoral Plaza,1.31646,103.83575,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_40051_A,SA_BST_40051_A,Goodwood Park,10,All / Universal,Yes,No,259708,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_5012,21198308,SA_BST_C_TF_5012_Eu Tong Sen St._Before Pearl's Hill Terr,1.28147,103.84082,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5012_C,SA_BST_5012_C,People'S Park,10,All / Universal,Yes,No,59820,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5019,21198309,SA_BST_A_TF_5019_New Bridge Road_After Duxton Plain Park,1.28123,103.84111,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5019_A,SA_BST_5019_A,Chinatown,10,All / Universal,Yes,No,88757,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5039,21198310,SA_BST_A_TF_5039_New Bridge Road_New Bridge Centre,1.2829,103.84251,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5039_A,SA_BST_5039_A,Chinatown,10,All / Universal,Yes,No,50336,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_3019,21198311,SA_BST_C_TF_3019_Collyer Quay_One Bayfront,1.28332,103.85284,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3019_C-Parallel,SA_BST_3019_C-Parallel,Clifford Pier,10,All / Universal,Yes,No,49325,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_D-Parallel_PF_3019,21198312,SA_BST_D_PF_3019_Collyer Quay_One Bayfront,1.28332,103.85283,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3019_D-Parallel,SA_BST_3019_D-Parallel,Clifford Pier,10,All / Universal,Yes,Yes,49325,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_6069,21198313,SA_BST_A_TF_6069_Outram Road_After Furama RiverFront,1.2863,103.83498,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_6069_A,SA_BST_6069_A,Pearl'S Hill,10,All / Universal,Yes,No,169051,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_4222,21198314,SA_BST_A_TF_4222_Eu Tong Sen Street_Clarke Quay MRT Station Exit E,1.28899,103.84709,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4222_A,SA_BST_4222_A,Clarke Quay,10,All / Universal,Yes,No,59817,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_4222,21198315,SA_BST_B_PF_4222_Eu Tong Sen Street_Clarke Quay MRT Station Exit E,1.28899,103.84708,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4222_B,SA_BST_4222_B,Clarke Quay,10,All / Universal,Yes,Yes,59818,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5419,21198316,SA_BST_A_TF_5419_Tanjong Pagar Road_The Amara,1.27486,103.84322,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5419_A,SA_BST_5419_A,Anson,10,All / Universal,Yes,No,79027,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_1019,21198317,SA_BST_A_TF_1019_Victoria Street_Bras Basah Complex,1.29699,103.85302,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_1019_A,SA_BST_1019_A,Bugis,10,All / Universal,Yes,No,188899,Singapore
