Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Screen network,Site ID,Site name,Site location (city),Site region (state),Publisher,Venue type,Blocked IAB category,Spot length,Min spot length,Max spot length,Allowed languages,Country,Allow Image,Allow Video,Aspect Ratio,Dimensions (W x H),Media owner,Orientation,Physical screen count,Zip code
Ka0698,18738245,Buangkok Sq_(E),1.3838,103.882,1920,1080,Shopping Mall,Buangkok Square,Buangkok Square,Trafalgar,North-East Region,Focus Media SG,Retail > Mall,"IAB8,IAB22,IAB23,IAB24,IAB25,IAB26",10,5,64,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0261,18738426,Rochester Mall (M) 1,1.30528,103.78839,1920,1080,Shopping Mall,Rochester Mall,Rochester Mall,One North,Central Region,Focus Media SG,Retail > Mall,"IAB21,IAB22,IAB23,IAB24,IAB25,IAB26",10,10,120,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0262,18738427,Rochester Mall (M) 2,1.30528,103.78839,1920,1080,Shopping Mall,Rochester Mall,Rochester Mall,One North,Central Region,Focus Media SG,Retail > Mall,"IAB21,IAB22,IAB23,IAB24,IAB25,IAB26",10,10,120,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0197,18771113,Junction 8 SC_(N),1.35032,103.84862,1920,1080,Shopping Mall,Junction 8 Shopping Centre,Junction 8 Shopping Centre,Bishan East,Central Region,Focus Media SG,Retail > Mall,"IAB20-18,IAB21,IAB22,IAB23,IAB24,IAB25,IAB26",10,10,120,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0198,18771179,Broadway Plaza(M)_(N),1.37201,103.84603,1920,1080,Shopping Mall,Broadway Plaza,Broadway Plaza,Ang Mo Kio Town Centre,North-East Region,Focus Media SG,Retail > Mall,"IAB23,IAB24,IAB25,IAB26",10,5,64,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0265,18771180,Dijitsun Mall (M)_(N),1.37288,103.84767,1920,1080,Shopping Mall,Djitsun Mall,Djitsun Mall,Ang Mo Kio Town Centre,North-East Region,Focus Media SG,Retail > Mall,"IAB7-1,IAB22,IAB23,IAB24,IAB25,IAB26",10,10,120,English,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0178,18773003,Marina Ctry Club(MB)_(N),1.41594,103.89926,1920,1080,Shopping Mall,Marina Country Club,Marina Country Club,Northshore,North-East Region,Focus Media SG,Retail > Mall,"IAB6-3,IAB23,IAB24,IAB25,IAB26",10,5,64,All / Universal,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
696563164,19733798,Bedok Town Square LED,1.3255,103.93021,1920,1000,SPHMBO Network,Bedok Town Square,Bedok Town Square,Bedok North,East Region,SPH Media SG,Outdoor > Billboards,,30,10,30,All / Universal,SG Breakdown B2,NA,NA,NA,1920 x 1000,NA,NA,NA,NA
Ka0781,19741664,Bedok Mall-RN1,1.32467,103.92941,1920,1080,Shopping Mall,Bedok Mall,Bedok Mall,Bedok North,East Region,Focus Media SG,Retail > Mall,"IAB20-18,IAB21,IAB22,IAB23,IAB24,IAB25,IAB26",10,5,64,All / Universal,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
Ka0782,19741665,Bedok Mall-RN2,1.32467,103.92941,1920,1080,Shopping Mall,Bedok Mall,Bedok Mall,Bedok North,East Region,Focus Media SG,Retail > Mall,"IAB20-18,IAB21,IAB22,IAB23,IAB24,IAB25,IAB26",10,5,64,All / Universal,SG Breakdown B2,NA,NA,NA,1920 x 1080,NA,NA,NA,NA
